p1_coordinate,disclosure_title,support_status,proof_ids,source_paths,earliest_support_date,implementation_receipts,notes
SPEC-01,System Overview,historical_conception_support,APEP-00000001;APEP-00000013,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-02,Person-Specific Namespace Resolution,evidence_linking_in_progress,,,,,
SPEC-03,World Graph Construction and Storage,evidence_linking_in_progress,,,,,
SPEC-04,Relationship and Event State,evidence_linking_in_progress,,,,,
SPEC-05,Person State Modeling,p1_context_only,APEP-00000002,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-06,Context VM Modeling,evidence_linking_in_progress,,,,,
SPEC-07,Dynamic Relevance Determination,historical_conception_support,APEP-00000002;APEP-00000005;APEP-00000006;APEP-00000008;APEP-00000010,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-08,Bounded World-Slice Construction,historical_conception_support,APEP-00000004;APEP-00000010,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-09,Inference and Action Selection,historical_conception_support,APEP-00000006;APEP-00000008,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-10,Correction and Supersession,p1_context_only,APEP-00000014,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-11,Continuity Hypervisor Operation,evidence_linking_in_progress,,,,,
SPEC-12,Cross-Provider Continuity,evidence_linking_in_progress,,,,,
SPEC-13,Sovereign Memory and Portability,historical_conception_support,APEP-00000001;APEP-00000003;APEP-00000012,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-14,Transferable Skill Embodiment,evidence_linking_in_progress,,,,,
SPEC-15,"Multimodal, Mobile, and Voice-First Embodiments",evidence_linking_in_progress,,,,,
SPEC-16,Multi-Person and Privacy Embodiments,p1_context_only,APEP-00000004,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-17,Data Minimization and Context Budget Optimization,historical_conception_support,APEP-00000003;APEP-00000010,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
